year,county,pct_lbw,pct_lbw_aian,pct_lbw_asian,pct_lbw_biracial,pct_lbw_black,pct_lbw_hispanic,pct_lbw_nhopi,pct_lbw_white,tbr,tbr_aian,tbr_asian,tbr_biracial,tbr_black,tbr_hispanic,tbr_nhopi,tbr_white,num_hs_complete,pop_25plus,pct_hs_complete,num_some_college,pop_25_44,pct_some_college,pct_child_poverty,pct_child_poverty_aian,pct_child_poverty_asian,pct_child_poverty_black,pct_child_poverty_hispanic,pct_child_poverty_white,year_factor,county_factor,racial_data_available,lbw_pct_change,hs_pct_change,poverty_pct_change,tbr_pct_change
2015,Clarke,0.126,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,427,5953,0.73,2561,5953,0.43,0.35,NA,NA,NA,NA,NA,2015,Clarke,None/Limited,-0.023255813953488393,-0.06410256410256415,0.0937499999999999,0
2015,Clay,0.114,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,171,3278,0.78,1534,3278,0.46799999999999997,0.29,NA,NA,NA,NA,NA,2015,Clay,None/Limited,0.06542056074766361,-0.06024096385542161,-0.03333333333333337,0.019230769230769232
2015,Cleburne,0.08800000000000001,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,208,3578,0.89,1738,3578,0.486,0.28,NA,NA,NA,NA,NA,2015,Cleburne,None/Limited,0.03529411764705885,-0.03260869565217394,0.07692307692307698,0.05555555555555555
2015,Coffee,0.086,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,752,13612,0.85,8184,13612,0.601,0.28,NA,NA,NA,NA,NA,2015,Coffee,None/Limited,-0.033707865168539505,0,0.21739130434782614,-0.08163265306122448
2015,Colbert,0.1,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,697,12915,0.78,7280,12915,0.564,0.26,NA,NA,NA,NA,NA,2015,Colbert,None/Limited,-0.019607843137254784,0.026315789473684233,0.040000000000000036,-0.018867924528301886
2015,Conecuh,0.13699999999999998,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,139,2686,0.83,1075,2686,0.4,0.43,NA,NA,NA,NA,NA,2015,Conecuh,None/Limited,0.10483870967741922,0.06410256410256401,-0.06521739130434788,0
2015,Coosa,0.121,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,92,2596,0.78,817,2596,0.315,0.31,NA,NA,NA,NA,NA,2015,Coosa,None/Limited,-0.024193548387096794,0.6250000000000001,0,0
2015,Covington,0.094,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,454,8609,0.81,4452,8609,0.517,0.29,NA,NA,NA,NA,NA,2015,Covington,None/Limited,-0.010526315789473693,0.05194805194805199,-0.14705882352941188,0
2015,Crenshaw,0.09,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,174,3326,0.93,1435,3326,0.431,0.31,NA,NA,NA,NA,NA,2015,Crenshaw,None/Limited,0.011235955056179628,0.05681818181818187,0.06896551724137938,0
2015,Cullman,0.092,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,1007,19639,0.83,10947,19639,0.557,0.23,NA,NA,NA,NA,NA,2015,Cullman,None/Limited,0.010989010989010999,0.07792207792207785,-0.11538461538461538,0
2015,Dale,0.086,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,522,13393,0.77,8283,13393,0.618,0.28,NA,NA,NA,NA,NA,2015,Dale,None/Limited,0.011764705882352788,0,0,-0.04
2015,Dallas,0.128,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,582,9796,0.72,4343,9796,0.44299999999999995,0.5,NA,NA,NA,NA,NA,2015,Dallas,None/Limited,0,0.014084507042253534,-0.16666666666666663,-0.04
2015,DeKalb,0.086,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,815,18068,0.84,7211,18068,0.39899999999999997,0.3,NA,NA,NA,NA,NA,2015,DeKalb,None/Limited,-0.011494252873563229,-0.023255813953488393,0,-0.016666666666666666
2015,Elmore,0.09,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,1121,21901,0.74,12234,21901,0.5589999999999999,0.2,NA,NA,NA,NA,NA,2015,Elmore,None/Limited,0.02272727272727259,0,-0.04761904761904753,0
2015,Escambia,0.109,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,421,9958,0.77,4454,9958,0.447,0.37,NA,NA,NA,NA,NA,2015,Escambia,None/Limited,-0.0090909090909091,0,-0.026315789473684233,-0.02857142857142857
2015,Etowah,0.085,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,1280,25925,0.77,13861,25925,0.535,0.28,NA,NA,NA,NA,NA,2015,Etowah,None/Limited,-0.044943820224719135,0.02666666666666669,-0.09677419354838701,-0.01818181818181818
